Tahun,Bulan,Inflasi
2017,Januari,1.24
2017,Februari ,0.36
2017,Maret,-0.06
2017,April ,0.28
2017,Mei,0.33
2017,Juni,0.61
2017,Juli,0.43
2017,Agustus,-0.45
2017,September,0.13
2017,Oktober,0.16
2017,November,0.2
2017,Desember,0.9
2018,Januari,0.55
2018,Februari ,-0.05
2018,Maret,0.15
2018,April ,0.1
2018,Mei,0.08
2018,Juni,0.46
2018,Juli,0.56
2018,Agustus,0.26
2018,September,-0.11
2018,Oktober,0.13
2018,November,0.46
2018,Desember,0.57
2019,Januari,0.42
2019,Februari ,-0.08
2019,Maret,0.26
2019,April ,0.46
2019,Mei,0.42
2019,Juni,0.25
2019,Juli,0.05
2019,Agustus,0.07
2019,September,-0.07
2019,Oktober,0.18
2019,November,0.31
2019,Desember,0.46
2020,Januari,0.54
2020,Februari ,0.4
2020,Maret,0.07
2020,April ,-0.24
2020,Mei,0.22
2020,Juni,0.08
2020,Juli,-0.08
2020,Agustus,-0.04
2020,September,0.03
2020,Oktober,0.08
2020,November,0.13
2020,Desember,0.13
2021,Januari,0.54
2021,Februari ,0.14
2021,Maret,0.08
2021,April ,0.01
2021,Mei,0.07
2021,Juni,0.05
2021,Juli,0.11
2021,Agustus,0.05